Label,Spectral Contrast,Chroma,MFCC
0,13.1947335852614,0.67288214,-602.07306
0,17.38232117976675,0.16339727,-631.3037
0,10.340269878220383,0.22490926,-631.59393
0,5.8993149032443135,0.111769766,-637.6097
0,7.745774704055531,0.25493318,-611.141
0,8.586382076691276,0.23806128,-667.25714
0,12.789244622563977,0.38622585,-666.4325
0,19.711196172680534,0.25370228,-654.5858
0,15.522310450097617,0.2649491,-682.67346
0,5.719358522638636,0.23436297,-668.9247
0,13.354579190399036,0.23537882,-597.16565
0,7.04552547370978,0.25729907,-614.9711
0,6.5429740593597145,0.28347635,-607.5198
0,5.556192019863868,0.3606501,-660.72144
0,6.598024113084193,0.35204306,-623.4429
1,18.793902685642003,0.28844064,-670.2042
1,14.933015375943555,0.36266762,-662.89264
1,16.959416359611723,0.36852401,-648.8919
1,16.53894181221186,0.28982273,-641.4018
1,14.02700765247225,0.41800764,-700.2486
1,13.408942134318806,0.2840954,-711.799
1,14.963557896719315,0.26292443,-669.37823
1,13.928146726831486,0.2598551,-667.6259
1,15.874920653495053,0.18108162,-684.75867
1,15.73951387193722,0.22582814,-716.19696
1,16.929992043084766,0.26999912,-671.6519
1,19.746464439577935,0.28335464,-676.95984
1,14.306927290245113,0.27476713,-671.0142
1,15.25837510904843,0.27269313,-713.79175
1,20.342032153252745,0.27195928,-645.38116
2,12.869400081526656,0.23035449,-595.39056
2,13.105722974556116,0.24628033,-627.7608
2,14.295909533636902,0.45803574,-597.88245
2,12.824811081288878,0.2507523,-635.2848
2,12.193140115188754,0.23643489,-606.51373
2,13.60647016462785,0.36661378,-625.1667
2,12.333989598036382,0.35957682,-609.6476
2,13.992419737501145,0.31066898,-621.65814
2,13.147507930453315,0.40571648,-619.6963
2,13.934871790761058,0.2337076,-606.0004
2,15.08251891919896,0.2426622,-613.8339
2,13.18150869440538,0.24725401,-613.68665
2,15.855773323693683,0.32715645,-616.29456
2,18.906636007367524,0.3813114,-630.7477
2,11.826567395218376,0.455432,-592.4618
3,5.406183095897493,0.19897757,-634.8974
3,4.457096163467883,0.4670774,-582.7702
3,6.017188705886753,0.21904354,-648.2373
3,15.103885615084288,0.20779678,-586.7564
3,4.832023472114429,0.1635823,-604.0338
3,8.122468178143155,0.6407609,-620.31335
3,1.6430737448244095,0.3873773,-626.6472
3,3.5308209123805945,0.30391145,-611.08984
3,4.907386827923764,0.32486022,-616.40015
3,4.545594195076767,0.30598786,-658.5021
3,11.041021388961958,0.046670415,-603.24915
3,3.9379265717689265,0.46685955,-656.22864
3,5.220475636939408,0.2150334,-676.5847
3,12.290050707781932,0.5409687,-531.834
3,7.984721415462044,0.38610005,-580.7165
4,10.179376160762985,0.2544013,-632.15326
4,9.677194702382085,0.3525425,-698.6733
4,4.097888225783109,0.2567051,-679.3284
4,6.743429429911956,0.24250574,-603.4675
4,5.22507145934998,0.2756922,-708.21216
4,5.226852987729096,0.21548256,-687.63983
4,4.943593159129971,0.25848377,-627.1031
4,5.236279852506637,0.24539483,-643.5817
4,10.155655614346088,0.2651867,-678.85693
4,4.5937007560867364,0.17744806,-698.4414
4,5.79053499057224,0.2488013,-610.50684
4,7.855307277527192,0.23545729,-638.3731
4,5.116807631698091,0.25370088,-650.99634
4,3.4421149784140184,0.2738751,-694.50055
4,3.05792090799223,0.2761887,-607.66406
5,4.754700428696911,0.3762335,-600.669
5,10.28021228295681,0.3028486,-624.9052
5,13.043148116770183,0.41587576,-632.04834
5,6.733143253135932,0.45094326,-640.6321
5,5.9969533777925434,0.36189118,-613.3655
5,10.386512524257697,0.25791746,-524.85925
5,7.812303149679817,0.3786635,-518.44885
5,5.012378714131287,0.28016093,-542.364
5,11.227386260881701,0.2750104,-524.14746
5,5.417210443709184,0.26610163,-515.377
5,7.548724924452365,0.23046444,-571.2097
5,6.661919906701474,0.31356996,-528.39514
5,2.635107672627992,0.27687603,-538.3006
5,6.37909113923671,0.3624333,-548.1133
5,8.078536225630558,0.2612882,-607.1125
6,4.811048669522016,0.3619439,-609.8095
6,4.811047738015475,0.37005994,-593.9757
6,4.811048669522016,0.35614327,-591.8588
6,4.811048669522016,0.37232426,-580.7407
6,4.811048669522016,0.3476721,-579.89404
6,4.811048669522016,0.24773526,-552.60767
