Label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30
AndresCalzada,-243.06459,127.64651,10.443528,28.75827,-18.299784,24.618565,-31.678621,-4.7463856,-15.513576,-12.269001,-1.0426011,-1.8320633,-1.5946208,-12.357493,9.712725,-4.013022,-9.932815,-3.673273,-0.67515105,-4.353526,-5.226008,-2.6624384,-5.1229177,-3.9638498,-5.3917108,-5.8372245,-3.58797,-5.866398,-3.2623577,1.9810177
AndresCalzada,-337.48517,126.56609,27.692966,18.813118,-3.4420862,22.929033,-8.206077,-2.8454711,-9.744994,-4.898207,-2.4788575,-4.454777,-6.566459,-8.599051,5.5127397,-3.24282,-8.396085,-2.906343,-1.4638339,-1.8015712,-0.6148974,-3.0418956,-1.6685936,-2.298202,-4.6422625,-3.4042406,-3.2055225,-4.496637,-0.35454464,2.1418757
ArathDaniela,-264.57568,135.03122,-23.619986,28.23802,-20.95175,5.760539,-25.53016,-0.35632744,-9.335915,-3.8333735,-7.92549,-8.4961195,-5.970709,1.2015669,-5.524815,-15.123458,1.8856363,-7.6543083,-5.282315,-6.008322,-1.9444637,-2.433513,-2.5155513,-0.12241007,-4.7327895,-3.5600402,-4.2233524,-4.0114646,-4.5857806,-2.8080428
ArathDaniela,-335.8239,115.65272,2.0059195,35.72698,-25.140762,-0.3087622,-11.918314,-2.8807955,-9.727982,1.5840364,-7.461974,-8.713339,-0.07905438,-3.2682836,-5.06677,-9.088929,-0.5090039,-9.660304,-3.5034144,-2.1213324,-7.2818937,-6.7856216,-4.892448,-5.990773,-7.1994295,-1.4985074,-2.5988328,-0.45351514,4.6647377,6.647896
ArathDaniela,-334.02167,117.461655,5.7512236,42.647984,-19.364504,2.4687932,-16.648693,1.5114195,-10.8948,0.13971917,-5.288751,-8.076386,-0.2253085,-2.6767352,-3.385345,-9.317808,1.326619,-7.125486,-4.4572015,-0.63517123,-4.597286,-8.726067,-2.9476776,-3.694812,-5.759524,-3.3732257,-3.9882221,-2.9862971,-2.1190035,2.4965703
ArathDaniela,-338.1908,122.55735,15.642618,44.364494,-16.067001,-1.027323,-12.814968,-1.9740146,-5.411365,9.759765,-9.055497,-6.155107,2.7819147,1.2130606,-1.5213498,-8.502682,4.383837,-4.690881,-4.4176903,-2.0975251,-3.8413947,-7.8313165,-2.091475,-3.4801044,-6.7042847,-2.1177704,-8.060952,-7.4211674,-4.0959144,-0.4691438
ArathDaniela,-282.91293,128.78708,-20.970137,32.770084,-20.002224,4.609551,-24.96382,-5.6815925,-5.84836,4.3274245,-8.372911,-8.593797,-2.3521683,-2.2153463,-2.9104037,-14.482171,3.7674344,-7.2521925,-7.3661103,-2.3566496,-5.753705,-5.8368764,-2.6040354,-5.530839,-5.796143,-3.9226518,-5.454585,-3.601815,-3.5840948,1.6346265
Ariana,-317.99786,78.938484,-25.275272,37.601566,-16.38682,-17.99581,-28.184908,-6.484326,-9.468157,7.455046,-16.478237,-10.933963,-0.036095772,-6.7785144,-8.400371,-15.112368,-3.9040184,-8.813702,-6.903444,-4.7933693,-6.3291717,-8.155008,-0.6643531,-4.819231,-0.54191566,4.0259066,1.2163508,4.313371,1.8661002,2.5985956
Ariana,-364.54788,81.79519,-15.822981,47.220028,-9.079047,-16.430777,-23.931631,-8.036128,-9.589652,3.4536636,-14.570162,-7.6204815,-0.9634622,-5.7875266,-6.0468783,-15.951884,-3.127276,-9.506642,-5.4070945,-0.32083845,-5.444211,-6.7122116,-1.0823988,-4.492002,-4.3544683,-2.464294,-6.1186996,-2.158581,-5.1708913,-2.2924666
Ariana,-310.77045,82.04483,-17.951101,32.829063,-24.530954,-20.044865,-37.20089,-8.596834,-10.791285,1.8564711,-18.799591,-12.851774,-4.560897,-5.826001,-6.7988057,-12.04382,6.54804,-2.2394366,3.8768373,4.7238164,-2.2087343,-1.0324706,4.8614035,-0.46895644,-1.8560805,-1.4665406,-5.5510573,0.19156888,-2.9701142,-5.8689427
Ariana,-332.92545,95.63273,-14.577665,43.824333,-6.451931,-24.285265,-24.567625,-16.290318,-11.098323,8.524819,-16.06973,-8.54114,2.324857,-9.767409,-6.843774,-18.182758,-5.159673,-7.126123,-8.329607,-0.48740488,-5.575701,-9.813931,-1.7379985,-3.4245906,-7.4261703,-2.0953865,-5.1482153,-2.6952477,-4.079717,-4.336805
